timestep,slice,Mean,StdDev,Shannon_Entropy,FILE,FILE_gray,FILE_canny_edge,FILE_contours
0,12,62.953166836734695,21.069018627846265,6.11287854184784,12/0.0.png,12/0.0_gray.png,12/0.0_canny_edge.png,12/0.0_contours.png
1,12,34.880492857142855,15.002611360514635,5.6832114488696694,12/1.0.png,12/1.0_gray.png,12/1.0_canny_edge.png,12/1.0_contours.png
2,12,36.84679591836735,16.43730810981915,5.78942968753961,12/2.0.png,12/2.0_gray.png,12/2.0_canny_edge.png,12/2.0_contours.png
3,12,38.070103061224486,17.21759327588697,5.841838884855261,12/3.0.png,12/3.0_gray.png,12/3.0_canny_edge.png,12/3.0_contours.png
4,12,40.65779693877551,17.770748440234946,5.867880520326546,12/4.0.png,12/4.0_gray.png,12/4.0_canny_edge.png,12/4.0_contours.png
5,12,32.758308163265305,14.458196473285922,5.585393332865747,12/5.0.png,12/5.0_gray.png,12/5.0_canny_edge.png,12/5.0_contours.png
6,12,31.613279081632655,14.768283980449986,5.620504418853552,12/6.0.png,12/6.0_gray.png,12/6.0_canny_edge.png,12/6.0_contours.png
7,12,31.683473979591838,14.929484543258154,5.631965758098544,12/7.0.png,12/7.0_gray.png,12/7.0_canny_edge.png,12/7.0_contours.png
8,12,31.737105102040815,15.165867710602125,5.641797768687498,12/8.0.png,12/8.0_gray.png,12/8.0_canny_edge.png,12/8.0_contours.png
9,12,31.632557653061223,15.228600371831334,5.648739025403318,12/9.0.png,12/9.0_gray.png,12/9.0_canny_edge.png,12/9.0_contours.png
10,12,31.46348418367347,15.345074934923689,5.658744837714541,12/10.0.png,12/10.0_gray.png,12/10.0_canny_edge.png,12/10.0_contours.png
11,12,31.26220306122449,15.416223582793696,5.66568837712764,12/11.0.png,12/11.0_gray.png,12/11.0_canny_edge.png,12/11.0_contours.png
12,12,30.728007142857145,15.233714003309986,5.649320125730849,12/12.0.png,12/12.0_gray.png,12/12.0_canny_edge.png,12/12.0_contours.png
13,12,30.50801581632653,15.372966035423369,5.652470409226016,12/13.0.png,12/13.0_gray.png,12/13.0_canny_edge.png,12/13.0_contours.png
14,12,23.320427040816327,11.591432289925255,5.287950429516853,12/14.0.png,12/14.0_gray.png,12/14.0_canny_edge.png,12/14.0_contours.png
15,12,23.197142857142858,11.524897449630078,5.290321273132331,12/15.0.png,12/15.0_gray.png,12/15.0_canny_edge.png,12/15.0_contours.png
16,12,23.080246428571428,11.497320530812928,5.2868835876526745,12/16.0.png,12/16.0_gray.png,12/16.0_canny_edge.png,12/16.0_contours.png
17,12,22.913977040816327,11.48506206168244,5.284071869003642,12/17.0.png,12/17.0_gray.png,12/17.0_canny_edge.png,12/17.0_contours.png
0,7,55.488872959183674,20.16204032498976,5.969599534070759,7/0.0.png,7/0.0_gray.png,7/0.0_canny_edge.png,7/0.0_contours.png
1,7,34.609167346938776,14.390936732589118,5.546185420123387,7/1.0.png,7/1.0_gray.png,7/1.0_canny_edge.png,7/1.0_contours.png
2,7,25.251766836734692,11.780485146913747,5.337221723006596,7/2.0.png,7/2.0_gray.png,7/2.0_canny_edge.png,7/2.0_contours.png
3,7,25.95746581632653,12.532675640116205,5.4153505864563725,7/3.0.png,7/3.0_gray.png,7/3.0_canny_edge.png,7/3.0_contours.png
4,7,26.057084693877552,12.846878859854078,5.440226814207414,7/4.0.png,7/4.0_gray.png,7/4.0_canny_edge.png,7/4.0_contours.png
5,7,27.03479336734694,13.290010485597927,5.450517502358686,7/5.0.png,7/5.0_gray.png,7/5.0_canny_edge.png,7/5.0_contours.png
6,7,25.699123469387754,12.83101113641144,5.395035819752311,7/6.0.png,7/6.0_gray.png,7/6.0_canny_edge.png,7/6.0_contours.png
7,7,25.84224642857143,13.30708795458682,5.450567130847188,7/7.0.png,7/7.0_gray.png,7/7.0_canny_edge.png,7/7.0_contours.png
8,7,26.48889642857143,13.547973761313242,5.467052223779588,7/8.0.png,7/8.0_gray.png,7/8.0_canny_edge.png,7/8.0_contours.png
9,7,26.3945,13.665718629781864,5.473021120331794,7/9.0.png,7/9.0_gray.png,7/9.0_canny_edge.png,7/9.0_contours.png
10,7,25.40124336734694,13.652389010679986,5.488883585166272,7/10.0.png,7/10.0_gray.png,7/10.0_canny_edge.png,7/10.0_contours.png
11,7,25.147704591836735,13.85366267735865,5.50940018228919,7/11.0.png,7/11.0_gray.png,7/11.0_canny_edge.png,7/11.0_contours.png
12,7,25.329123979591838,14.334251094733686,5.536378035795896,7/12.0.png,7/12.0_gray.png,7/12.0_canny_edge.png,7/12.0_contours.png
13,7,23.901767346938776,13.971568044109391,5.520697434917086,7/13.0.png,7/13.0_gray.png,7/13.0_canny_edge.png,7/13.0_contours.png
14,7,20.337092346938775,12.066011205145495,5.336011985618208,7/14.0.png,7/14.0_gray.png,7/14.0_canny_edge.png,7/14.0_contours.png
15,7,19.967467346938776,12.242004337440557,5.352490198065552,7/15.0.png,7/15.0_gray.png,7/15.0_canny_edge.png,7/15.0_contours.png
16,7,20.873126020408165,12.444235549099263,5.355383875189858,7/16.0.png,7/16.0_gray.png,7/16.0_canny_edge.png,7/16.0_contours.png
17,7,20.750360714285716,12.546553723197015,5.3706512813196765,7/17.0.png,7/17.0_gray.png,7/17.0_canny_edge.png,7/17.0_contours.png
